Order,Seasonal Order,AIC,BIC
"(3, 0, 2)","(1, 0, 0, 52)",2535.698107421688,2556.3888968248966
"(3, 0, 2)","(1, 0, 1, 52)",10875.053550981444,10898.700167442254
"(3, 0, 2)","(1, 1, 0, 52)",1581.5713939244833,1599.070061616795
"(3, 0, 2)","(1, 1, 1, 52)",1582.2841446894492,1602.2826220520915
"(3, 0, 3)","(0, 0, 0, 52)",3528.190358529687,3551.029189852021
"(3, 0, 3)","(0, 0, 1, 52)",3734.7156926308644,3758.3057717538895
"(3, 0, 3)","(0, 1, 0, 52)",2497.7764869898865,2518.4178062225337
"(3, 0, 3)","(0, 1, 1, 52)",1566.8634321337022,1586.7725230915594
"(3, 0, 3)","(1, 0, 0, 52)",2537.39306620636,2561.03968266717
"(3, 0, 3)","(1, 0, 1, 52)",10730.203577346729,10756.742416360132
"(3, 0, 3)","(1, 1, 0, 52)",1584.1556847330035,1604.1541620956455
"(3, 0, 3)","(1, 1, 1, 52)",1564.699419862584,1587.0971471901732
"(3, 0, 4)","(0, 0, 0, 52)",3514.776662351489,3540.8366253277113
"(3, 0, 4)","(0, 0, 1, 52)",10035.076387522638,10061.551169326121
"(3, 0, 4)","(0, 1, 0, 52)",2481.708730139735,2505.2418695206093
"(3, 0, 4)","(0, 1, 1, 52)",1548.2704683505585,1570.5664996808623
"(3, 0, 4)","(1, 0, 0, 52)",2537.493221128811,2564.0956646472223
"(3, 0, 4)","(1, 0, 1, 52)",10747.199130461207,10776.6155546873
"(3, 0, 4)","(1, 1, 0, 52)",1583.1694831152925,1605.667770148265
"(3, 0, 4)","(1, 1, 1, 52)",1549.1141047077488,1573.887472852531
"(3, 0, 5)","(0, 0, 0, 52)",3493.7748997983063,3523.045360650726
"(3, 0, 5)","(0, 0, 1, 52)",11084.161956865115,11113.506696196422
"(3, 0, 5)","(0, 1, 0, 52)",2463.2659647640826,2489.676230162259
"(3, 0, 5)","(0, 1, 1, 52)",1529.8770470575366,1554.5361282440824
"(3, 0, 5)","(1, 0, 0, 52)",2539.935636002402,2569.4939065784147
